geneName,log2FC,pvalue,ProteinAccessions,ProteinDescriptions,log2 daf2_d10_01,log2 daf2_d10_02,log2 daf2_d10_03,log2 daf2_d10_04,log2 N2_d10_01,log2 N2_d10_02,log2 N2_d10_03,log2 N2_d10_04, -Log.p.value,Student's T-test q-value daf2_d10_N2_d10,log2FC,Student's T-test Test statistic daf2_d10_N2_d10,Sign p-val: 0.05 
"CELE_Y62E10A,13",-3.80441,1.87443,A0A061ACH4;A0A061ACK7;A0A061ADS3;A0A061AKN1;Q95Q10;Q9U1W6;Q9U1W7,Uncharacterized protein,11.3554,8.10436,9.38045,10.4464,14.218,14.1148,11.1635,15.0079,1.87443,0.00147812,-3.80441,-3.46699,+
cars-1,-1.54441,3.1796,A0A061ACL3,Cysteinyl Amino-acyl tRNA Synthetase,16.1075,16.3522,15.8168,16.1662,17.4415,17.1778,17.8791,18.122,3.1796,6.93E-05,-1.54441,-6.44358,+
eps-8,0.542592,0.563174,A0A061ACM2;A0A061ACP8;A0A061ADW6,EPS (Human endocytosis) related,15.6027,15.3869,14.0775,14.3634,14.4686,13.7126,14.1819,14.8971,0.563174,0.077882,0.542592,1.20542,
"CELE_T14G10,5;CELE_T14G10,5;T14G10,5;CELE_T14G10,5",-1.12642,3.20578,A0A061ACR1;F5GUA3;Q22498;Q2XN02,Coatomer subunit gamma;Coatomer subunit gamma;Probable coatomer subunit gamma;Coatomer subunit gamma,16.5319,16.6517,16.4404,16.4774,17.6362,17.6537,17.2508,18.0665,3.20578,7.03E-05,-1.12642,-6.51672,+
pezo-1,-2.60465,5.72997,A0A061ACU2;A0A061AE33;A0A061AJB7;C6KRJ3;D0VWN8;H9G2S2;H9G2S3;Q17897,Piezo-type mechanosensitive ion channel component,14.9727,15.208,15.1849,15.344,17.6704,17.5944,18.1401,17.7233,5.72997,0,-2.60465,-18.0472,+
twk-9,3.02574,5.06105,A0A061AD18,TWiK family of potassium channels,16.9242,17.1493,17.8353,17.5592,14.4523,14.1682,14.2584,14.486,5.06105,0,3.02574,13.8857,+
epi-1,-1.9543,5.32422,A0A061AD21;A0A061AJI9;C1P640;C1P641;G5EEV6;Q21313,Uncharacterized protein;Uncharacterized protein;Uncharacterized protein;Uncharacterized protein;Laminin alpha;Laminin-like protein epi-1,17.1279,17.5438,17.0597,17.2595,19.3472,19.2119,19.0184,19.2306,5.32422,0,-1.9543,-15.3994,+
kdin-1,-0.99074,2.51323,A0A061AD39;A0A061AD72;A0A061AEC1;A0A061AJK4;A0A061AL87;Q067Y1;Q20109;Q27GQ4,KiDINs220 (Vertebrate scaffold protein) homolog,13.0056,13.2505,13.4264,13.3654,14.0607,13.8599,14.3869,14.7034,2.51323,0.000444965,-0.99074,-4.77855,+
tag-273,-1.65593,5.26317,A0A061AD47;A0A061AE99;Q86CZ7,Uncharacterized protein,16.5015,16.5437,16.458,16.5743,17.9037,18.1408,18.2388,18.4179,5.26317,0,-1.65593,-15.0349,+
"CELE_F13H10,3;CELE_F13H10,3;F13H10,3;CELE_F13H10,3",-1.31628,2.83775,A0A061ADY8;Q0G831;Q19425;Q8T3E2,Uncharacterized protein;Uncharacterized protein;Sodium-coupled neutral amino acid transporter 9 homolog;Uncharacterized protein,12.8776,12.8146,12.929,13.0728,14.2514,13.6343,14.3166,14.7568,2.83775,0.000101633,-1.31628,-5.54489,+
