geneName,log2FC,pvalue,ProteinAccessions,ProteinDescriptions,log2 daf2_d15_01,log2 daf2_d15_02,log2 daf2_d15_03,log2 daf2_d15_04,log2 daf2_d10_01,log2 daf2_d10_02,log2 daf2_d10_03,log2 daf2_d10_04, -Log.p.value,Student's T-test q-value daf2_d15_daf2_d10,log2FC,Student's T-test Test statistic daf2_d15_daf2_d10,Sign p-val: 0.05 
"CELE_Y62E10A,13",1.64259,0.923732,A0A061ACH4;A0A061ACK7;A0A061ADS3;A0A061AKN1;Q95Q10;Q9U1W6;Q9U1W7,Uncharacterized protein,12.2069,12.0594,9.76451,11.8261,11.3554,8.10436,9.38045,10.4464,0.923732,0.100032,1.64259,1.8165,
cars-1,-0.382344,0.995675,A0A061ACL3,Cysteinyl Amino-acyl tRNA Synthetase,15.8211,16.1505,15.4504,15.4914,16.1075,16.3522,15.8168,16.1662,0.995675,0.0852338,-0.382344,-1.936,
eps-8,-3.02006,3.47852,A0A061ACM2;A0A061ACP8;A0A061ADW6,EPS (Human endocytosis) related,12.2998,11.8259,11.4712,11.7534,15.6027,15.3869,14.0775,14.3634,3.47852,0.00182353,-3.02006,-7.31874,+
"CELE_T14G10,5;CELE_T14G10,5;T14G10,5;CELE_T14G10,5",0.340315,1.5582,A0A061ACR1;F5GUA3;Q22498;Q2XN02,Coatomer subunit gamma;Coatomer subunit gamma;Probable coatomer subunit gamma;Coatomer subunit gamma,16.9059,16.8133,16.6107,17.1328,16.5319,16.6517,16.4404,16.4774,1.5582,0.0263668,0.340315,2.89103,+
pezo-1,-0.232152,0.558353,A0A061ACU2;A0A061AE33;A0A061AJB7;C6KRJ3;D0VWN8;H9G2S2;H9G2S3;Q17897,Piezo-type mechanosensitive ion channel component,14.9222,14.4529,15.2528,15.1532,14.9727,15.208,15.1849,15.344,0.558353,0.234321,-0.232152,-1.19695,
twk-9,-0.837581,0.849196,A0A061AD18,TWiK family of potassium channels,17.1845,15.4121,16.1883,17.3328,16.9242,17.1493,17.8353,17.5592,0.849196,0.118944,-0.837581,-1.69241,
epi-1,-0.102283,0.296631,A0A061AD21;A0A061AJI9;C1P640;C1P641;G5EEV6;Q21313,Uncharacterized protein;Uncharacterized protein;Uncharacterized protein;Uncharacterized protein;Laminin alpha;Laminin-like protein epi-1,17.394,16.9375,17.068,17.1822,17.1279,17.5438,17.0597,17.2595,0.296631,0.453008,-0.102283,-0.708717,
kdin-1,-0.120531,0.0928964,A0A061AD39;A0A061AD72;A0A061AEC1;A0A061AJK4;A0A061AL87;Q067Y1;Q20109;Q27GQ4,KiDINs220 (Vertebrate scaffold protein) homolog,12.3697,13.9836,12.3076,13.9048,13.0056,13.2505,13.4264,13.3654,0.0928964,0.769387,-0.120531,-0.254744,
tag-273,0.750253,2.38637,A0A061AD47;A0A061AE99;Q86CZ7,Uncharacterized protein,17.7318,17.2426,16.9599,17.1441,16.5015,16.5437,16.458,16.5743,2.38637,0.00674115,0.750253,4.49907,+
"CELE_F13H10,3;CELE_F13H10,3;F13H10,3;CELE_F13H10,3",-0.265023,0.790257,A0A061ADY8;Q0G831;Q19425;Q8T3E2,Uncharacterized protein;Uncharacterized protein;Sodium-coupled neutral amino acid transporter 9 homolog;Uncharacterized protein,12.8317,12.2961,12.512,12.9942,12.8776,12.8146,12.929,13.0728,0.790257,0.136225,-0.265023,-1.59382,
