geneName,log2FC,pvalue,ProteinAccessions,ProteinDescriptions,log2 daf2_d5_01,log2 daf2_d5_02,log2 daf2_d5_03,log2 daf2_d5_04,log2 N2_d5_01,log2 N2_d5_02,log2 N2_d5_03,log2 N2_d5_04, -Log.p.value,Student's T-test q-value daf2_d5_N2_d5,log2FC,Student's T-test Test statistic daf2_d5_N2_d5,Sign p-val: 0.05 
"CELE_Y62E10A,13",1.15152,0.957264,A0A061ACH4;A0A061ACK7;A0A061ADS3;A0A061AKN1;Q95Q10;Q9U1W6;Q9U1W7,Uncharacterized protein,12.8718,13.6241,13.1723,14.121,10.7246,12.8939,13.1994,12.3652,0.957264,0.0578737,1.15152,1.87221,
cars-1,0.682843,2.13151,A0A061ACL3,Cysteinyl Amino-acyl tRNA Synthetase,16.4016,16.744,16.2184,16.5853,16.0288,16.0264,15.5569,15.6059,2.13151,0.00407987,0.682843,3.96759,+
eps-8,-0.71043,1.19946,A0A061ACM2;A0A061ACP8;A0A061ADW6,EPS (Human endocytosis) related,12.9619,13.2749,12.9819,12.3774,14.1342,12.9341,13.6492,13.7203,1.19946,0.0330302,-0.71043,-2.27566,+
"CELE_T14G10,5;CELE_T14G10,5;T14G10,5;CELE_T14G10,5",0.514203,1.11195,A0A061ACR1;F5GUA3;Q22498;Q2XN02,Coatomer subunit gamma;Coatomer subunit gamma;Probable coatomer subunit gamma;Coatomer subunit gamma,17.4503,17.6303,17.2228,17.2181,17.5171,16.5847,16.6106,16.7523,1.11195,0.0403331,0.514203,2.12936,+
pezo-1,1.32634,1.32417,A0A061ACU2;A0A061AE33;A0A061AJB7;C6KRJ3;D0VWN8;H9G2S2;H9G2S3;Q17897,Piezo-type mechanosensitive ion channel component,15.0058,14.2792,16.2589,16.4128,13.722,14.2385,14.3964,14.2946,1.32417,0.0253902,1.32634,2.4862,+
twk-9,-0.616855,0.617478,A0A061AD18,TWiK family of potassium channels,18.3046,18.1349,16.8766,16.5732,17.6586,18.4575,18.3246,17.916,0.617478,0.140445,-0.616855,-1.30008,
epi-1,0.241687,0.653908,A0A061AD21;A0A061AJI9;C1P640;C1P641;G5EEV6;Q21313,Uncharacterized protein;Uncharacterized protein;Uncharacterized protein;Uncharacterized protein;Laminin alpha;Laminin-like protein epi-1,17.7883,18.0182,17.4658,17.6494,17.6514,17.3559,17.1822,17.7655,0.653908,0.128277,0.241687,1.36283,
kdin-1,-0.691444,1.13107,A0A061AD39;A0A061AD72;A0A061AEC1;A0A061AJK4;A0A061AL87;Q067Y1;Q20109;Q27GQ4,KiDINs220 (Vertebrate scaffold protein) homolog,13.0264,13.2506,12.4163,12.606,13.4012,12.9817,14.2163,13.4658,1.13107,0.0385801,-0.691444,-2.16126,+
tag-273,0.954942,3.46208,A0A061AD47;A0A061AE99;Q86CZ7,Uncharacterized protein,17.8664,18.2805,17.7839,17.9963,16.9615,16.9142,16.9885,17.2432,3.46208,0.00033007,0.954942,7.26825,+
"CELE_F13H10,3;CELE_F13H10,3;F13H10,3;CELE_F13H10,3",0.391974,0.94927,A0A061ADY8;Q0G831;Q19425;Q8T3E2,Uncharacterized protein;Uncharacterized protein;Sodium-coupled neutral amino acid transporter 9 homolog;Uncharacterized protein,12.3398,13.2656,12.9281,12.8877,12.5762,12.6283,12.41,12.2389,0.94927,0.0588055,0.391974,1.85893,
pps-1,-1.87459,2.99603,A0A061AE05;Q22501,3'-Phosphoadenosine 5'-Phosphosulfate Synthetase,13.0455,12.9821,12.6379,12.2496,14.3474,14.1023,14.6768,15.287,2.99603,0.00080462,-1.87459,-5.94842,+
cka-1,-0.885494,1.66586,A0A061AIW1;B3GWD5;O17610,Choline Kinase A,12.4489,13.0109,13.5044,12.5409,13.4878,14.1536,13.55,13.8556,1.66586,0.0118816,-0.885494,-3.08285,+
"CELE_R11A8,7;CELE_R11A8,7;R11A8,7",1.08815,1.06206,A0A061AJK8;A0A061AL89;Q21920,"Uncharacterized protein;Uncharacterized protein;Ankyrin repeat and KH domain-containing protein R11A8,7",14.9123,15.6116,14.2647,14.2652,13.343,14.7779,12.7744,13.8059,1.06206,0.0449245,1.08815,2.0463,+
spp-18,2.89948,3.27654,A0A061AKY5;Q19837,SaPosin-like Protein family,18.1612,19.2322,18.6168,17.7392,15.0469,15.1157,15.7014,16.2875,3.27654,0.000523187,2.89948,6.71765,+
lin-66,-0.215267,0.309773,A0A061AL58;O62020,Uncharacterized protein,13.9607,13.9884,14.4919,13.7276,14.0077,13.7704,14.3544,14.8973,0.309773,0.33955,-0.215267,-0.735043,
"CELE_F09E10,7",0.692349,0.598037,A0A078BPG0,Uncharacterized protein,15.7667,14.3877,14.8697,13.2229,13.6093,13.9933,14.1876,13.6874,0.598037,0.147242,0.692349,1.26636,
"CELE_F10C1,9",-0.705911,1.3226,A0A078BPH9;G4S1A4,Uncharacterized protein,12.8939,13.335,13.0136,12.5557,13.9452,13.0582,13.5171,14.1013,1.3226,0.0255734,-0.705911,-2.48353,+
itx-1,0.53001,1.13017,A0A078BPJ4;A0A078BPL3;A0A078BS63;H1ZUX6;O45000,InTestinal NeureXin-like,15.4011,15.9398,15.4638,14.944,15.0756,14.6052,14.7545,15.1934,1.13017,0.0386444,0.53001,2.15976,+
"CELE_Y41E3,7",-0.509106,0.822334,A0A078BQL1;O62444;Q2XMY1,Uncharacterized protein,13.6666,14.2938,14.4558,14.5345,14.5143,14.874,15.3494,14.2494,0.822334,0.0820942,-0.509106,-1.64754,
"CELE_Y105C5B,15",0.31053,0.735936,A0A078BQP7;Q9U309,Purple acid phosphatase,15.3516,15.3146,15.5079,14.7261,14.7875,14.7886,14.8223,15.2597,0.735936,0.102623,0.31053,1.50239,
lim-9,1.13839,3.07154,A0A0K3AQM0;A0A0K3ATK8;G5ECN3;G5EEA4;G5EF39,LIM domain family,15.5677,15.4778,15.6519,15.6344,14.2439,14.2245,14.3268,14.9832,3.07154,0.000822199,1.13839,6.14843,+
"CELE_Y105E8A,25",1.86789,2.58299,A0A0K3AQN0;A0A0K3ATL6;A0A0K3AWN6,Uncharacterized protein,15.2256,15.7982,14.7094,14.1762,12.7547,13.4247,12.9829,13.2754,2.58299,0.00177939,1.86789,4.93684,+
pgp-2,0.713547,1.31652,A0A0K3AQN5;A0A0K3AU66;A0A0K3AWK1;G5EDF9,P-GlycoProtein related;P-GlycoProtein related;P-GlycoProtein related;ABC transporter PGP-2,15.1878,15.1079,14.3195,15.1138,14.4009,14.1815,13.6723,14.6201,1.31652,0.0258177,0.713547,2.4732,+
lpd-3,0.155153,0.0929252,A0A0K3AQT9;A0A0K3ATS5;A0A0K3AUC6;A0A0K3AWP8,LiPid Depleted,15.7376,15.4629,15.8295,17.9221,15.4549,16.4514,16.337,16.0881,0.0929252,0.709879,0.155153,0.254816,
tln-1,0.672672,0.956761,A0A0K3AQU9,TaLiN,14.0896,14.3584,15.1304,15.6357,14.1918,13.9737,14.107,14.251,0.956761,0.0580037,0.672672,1.87137,
max-2,0.983001,1.05831,A0A0K3AQV8;A0A0K3AUE7;G5EGQ3,Non-specific serine/threonine protein kinase;Non-specific serine/threonine protein kinase;Serine/threonine-protein kinase max-2,14.939,15.944,15.3661,15.3956,15.5204,14.5985,13.4376,14.1562,1.05831,0.0452936,0.983001,2.04006,+
egl-27,-0.191584,0.359339,A0A0K3AQW8;A0A0K3AQX3;A0A0K3ARG1;A0A0K3ARG6;A0A0K3ATV0;A0A0K3ATV3;A0A0K3ATV6;A0A0K3AUG2;A0A0K3AWS4;A0A0K3AWS8;Q09228,Uncharacterized protein;Uncharacterized protein;Uncharacterized protein;Uncharacterized protein;Uncharacterized protein;Uncharacterized protein;Uncharacterized protein;Uncharacterized protein;Uncharacterized protein;Uncharacterized protein;Egg-laying defective protein 27,13.0035,12.9126,12.9519,12.2116,12.576,13.1572,13.132,12.9809,0.359339,0.292162,-0.191584,-0.832158,
cdc-14,1.57314,3.49592,A0A0K3AQY3;A0A0K3ATW0;P81299,Cell Division Cycle related;Cell Division Cycle related;Probable tyrosine-protein phosphatase cdc-14,13.1162,13.1696,12.9349,12.4668,11.472,11.1757,11.0624,11.6847,3.49592,0.000340058,1.57314,7.37253,+
daf-16,1.3528,1.8216,A0A0K3AR63;A0A0K3AR95;A0A0K3ATP5;A0A0K3AWG6;O16850,Uncharacterized protein;Uncharacterized protein;Uncharacterized protein;Uncharacterized protein;Forkhead box protein O,15.5029,16.118,14.7924,15.0596,14.585,14.0713,13.2523,14.1532,1.8216,0.00799088,1.3528,3.36799,+
"CELE_T16H12,3;T16H12,3",1.48138,2.80955,A0A0K3ARA8;P34566,"Uncharacterized protein;Uncharacterized protein T16H12,3",12.8176,13.243,13.0141,12.2105,11.412,11.2337,10.9874,11.7267,2.80955,0.0011602,1.48138,5.47515,+
lev-11,3.08254,4.62251,A0A0K3ARC0,Uncharacterized protein,18.1945,18.2566,17.6161,18.0451,15.1948,14.4688,14.6904,15.4279,4.62251,0,3.08254,11.671,+
