geneName,log2FC,pvalue,ProteinAccessions,ProteinDescriptions,log2 daf2_d5_01,log2 daf2_d5_02,log2 daf2_d5_03,log2 daf2_d5_04,log2 eat2_d5_01,log2 eat2_d5_02,log2 eat2_d5_03,log2 eat2_d5_04, -Log.p.value,Student's T-test q-value daf2_d5_eat2_d5,log2FC,Student's T-test Test statistic daf2_d5_eat2_d5,Sign p-val: 0.05 
"CELE_Y62E10A,13",-0.18466,0.153085,A0A061ACH4;A0A061ACK7;A0A061ADS3;A0A061AKN1;Q95Q10;Q9U1W6;Q9U1W7,Uncharacterized protein,12.8718,13.6241,13.1723,14.121,13.6624,14.6705,13.0161,13.1788,0.153085,0.491505,-0.18466,-0.400105,
cars-1,-0.38002,1.58443,A0A061ACL3,Cysteinyl Amino-acyl tRNA Synthetase,16.4016,16.744,16.2184,16.5853,16.9482,16.9907,16.7258,16.8047,1.58443,0.00671351,-0.38002,-2.93738,+
eps-8,-0.493368,1.32233,A0A061ACM2;A0A061ACP8;A0A061ADW6,EPS (Human endocytosis) related,12.9619,13.2749,12.9819,12.3774,13.2868,13.2943,13.4311,13.5574,1.32233,0.013757,-0.493368,-2.48307,+
"CELE_T14G10,5;CELE_T14G10,5;T14G10,5;CELE_T14G10,5",0.566503,2.67854,A0A061ACR1;F5GUA3;Q22498;Q2XN02,Coatomer subunit gamma;Coatomer subunit gamma;Probable coatomer subunit gamma;Coatomer subunit gamma,17.4503,17.6303,17.2228,17.2181,16.7278,16.9222,16.7445,16.861,2.67854,0.000668776,0.566503,5.15922,+
pezo-1,1.11621,1.05114,A0A061ACU2;A0A061AE33;A0A061AJB7;C6KRJ3;D0VWN8;H9G2S2;H9G2S3;Q17897,Piezo-type mechanosensitive ion channel component,15.0058,14.2792,16.2589,16.4128,14.9797,14.1831,14.1785,14.1505,1.05114,0.0309957,1.11621,2.02815,+
twk-9,0.682115,0.74366,A0A061AD18,TWiK family of potassium channels,18.3046,18.1349,16.8766,16.5732,16.7245,16.8547,16.5382,17.0434,0.74366,0.0742131,0.682115,1.51543,
epi-1,0.45164,2.00724,A0A061AD21;A0A061AJI9;C1P640;C1P641;G5EEV6;Q21313,Uncharacterized protein;Uncharacterized protein;Uncharacterized protein;Uncharacterized protein;Laminin alpha;Laminin-like protein epi-1,17.7883,18.0182,17.4658,17.6494,17.3778,17.2611,17.2211,17.2552,2.00724,0.00224606,0.45164,3.72151,+
kdin-1,-1.20661,2.26559,A0A061AD39;A0A061AD72;A0A061AEC1;A0A061AJK4;A0A061AL87;Q067Y1;Q20109;Q27GQ4,KiDINs220 (Vertebrate scaffold protein) homolog,13.0264,13.2506,12.4163,12.606,14.5667,14.1245,13.5735,13.8609,2.26559,0.00146444,-1.20661,-4.24243,+
tag-273,1.09172,4.17447,A0A061AD47;A0A061AE99;Q86CZ7,Uncharacterized protein,17.8664,18.2805,17.7839,17.9963,16.9522,16.8906,16.8216,16.896,4.17447,0.000156334,1.09172,9.74968,+
"CELE_F13H10,3;CELE_F13H10,3;F13H10,3;CELE_F13H10,3",-0.0624516,0.107676,A0A061ADY8;Q0G831;Q19425;Q8T3E2,Uncharacterized protein;Uncharacterized protein;Sodium-coupled neutral amino acid transporter 9 homolog;Uncharacterized protein,12.3398,13.2656,12.9281,12.8877,13.204,12.8146,12.8455,12.807,0.107676,0.597146,-0.0624516,-0.291599,
pps-1,-1.94514,4.18117,A0A061AE05;Q22501,3'-Phosphoadenosine 5'-Phosphosulfate Synthetase,13.0455,12.9821,12.6379,12.2496,14.6654,14.5446,14.8951,14.5906,4.18117,0.000156757,-1.94514,-9.77615,+
cka-1,-2.23636,3.65448,A0A061AIW1;B3GWD5;O17610,Choline Kinase A,12.4489,13.0109,13.5044,12.5409,15.2113,15.2708,15.2935,14.6747,3.65448,0.000168807,-2.23636,-7.87786,+
"CELE_R11A8,7;CELE_R11A8,7;R11A8,7",1.3228,2.18758,A0A061AJK8;A0A061AL89;Q21920,"Uncharacterized protein;Uncharacterized protein;Ankyrin repeat and KH domain-containing protein R11A8,7",14.9123,15.6116,14.2647,14.2652,13.5273,13.4948,13.3414,13.3991,2.18758,0.00173994,1.3228,4.08129,+
