geneName,log2FC,pvalue,ProteinAccessions,ProteinDescriptions,log2 N2_d15_01,log2 N2_d15_02,log2 N2_d15_03,log2 N2_d15_04,log2 N2_d10_01,log2 N2_d10_02,log2 N2_d10_03,log2 N2_d10_04, -Log.p.value,Student's T-test q-value N2_d15_N2_d10,log2FC,Student's T-test Test statistic N2_d15_N2_d10,Sign p-val: 0.05 
"CELE_Y62E10A,13",-1.60246,0.909591,A0A061ACH4;A0A061ACK7;A0A061ADS3;A0A061AKN1;Q95Q10;Q9U1W6;Q9U1W7,Uncharacterized protein,11.3945,11.8454,12.0607,12.7939,14.218,14.1148,11.1635,15.0079,0.909591,0.0385566,-1.60246,-1.79298,+
cars-1,-1.11347,2.23803,A0A061ACL3,Cysteinyl Amino-acyl tRNA Synthetase,17.0012,16.427,16.4786,16.2597,17.4415,17.1778,17.8791,18.122,2.23803,0.00110375,-1.11347,-4.18511,+
eps-8,0.0200016,0.0195456,A0A061ACM2;A0A061ACP8;A0A061ADW6,EPS (Human endocytosis) related,14.7489,13.651,14.3442,14.5962,14.4686,13.7126,14.1819,14.8971,0.0195456,0.920451,0.0200016,0.0575285,
"CELE_T14G10,5;CELE_T14G10,5;T14G10,5;CELE_T14G10,5",-0.619127,1.63332,A0A061ACR1;F5GUA3;Q22498;Q2XN02,Coatomer subunit gamma;Coatomer subunit gamma;Probable coatomer subunit gamma;Coatomer subunit gamma,17.1779,16.7638,16.9089,17.28,17.6362,17.6537,17.2508,18.0665,1.63332,0.00498046,-0.619127,-3.02444,+
pezo-1,-2.26808,2.69771,A0A061ACU2;A0A061AE33;A0A061AJB7;C6KRJ3;D0VWN8;H9G2S2;H9G2S3;Q17897,Piezo-type mechanosensitive ion channel component,15.1979,15.0917,15.0032,16.7631,17.6704,17.5944,18.1401,17.7233,2.69771,0.000349751,-2.26808,-5.20463,+
twk-9,0.714729,0.987825,A0A061AD18,TWiK family of potassium channels,15.0646,14.0276,15.4946,15.6371,14.4523,14.1682,14.2584,14.486,0.987825,0.0305035,0.714729,1.92296,+
epi-1,-1.87662,5.31887,A0A061AD21;A0A061AJI9;C1P640;C1P641;G5EEV6;Q21313,Uncharacterized protein;Uncharacterized protein;Uncharacterized protein;Uncharacterized protein;Laminin alpha;Laminin-like protein epi-1,17.454,17.4416,17.0252,17.381,19.3472,19.2119,19.0184,19.2306,5.31887,0,-1.87662,-15.3671,+
kdin-1,-0.45844,1.18916,A0A061AD39;A0A061AD72;A0A061AEC1;A0A061AJK4;A0A061AL87;Q067Y1;Q20109;Q27GQ4,KiDINs220 (Vertebrate scaffold protein) homolog,13.6171,14.009,13.8207,13.7303,14.0607,13.8599,14.3869,14.7034,1.18916,0.0175865,-0.45844,-2.25839,+
tag-273,-1.84603,4.90277,A0A061AD47;A0A061AE99;Q86CZ7,Uncharacterized protein,16.2946,16.0933,16.3976,16.5315,17.9037,18.1408,18.2388,18.4179,4.90277,0,-1.84603,-13.0444,+
"CELE_F13H10,3;CELE_F13H10,3;F13H10,3;CELE_F13H10,3",-1.64185,2.40431,A0A061ADY8;Q0G831;Q19425;Q8T3E2,Uncharacterized protein;Uncharacterized protein;Sodium-coupled neutral amino acid transporter 9 homolog;Uncharacterized protein,11.832,12.6645,13.1658,12.7295,14.2514,13.6343,14.3166,14.7568,2.40431,0.000726758,-1.64185,-4.53796,+
