geneName,log2FC,pvalue,ProteinAccessions,ProteinDescriptions,log2 N2_d15_01,log2 N2_d15_02,log2 N2_d15_03,log2 N2_d15_04,log2 N2_d5_01,log2 N2_d5_02,log2 N2_d5_03,log2 N2_d5_04, -Log.p.value,Student's T-test q-value N2_d15_N2_d5,log2FC,Student's T-test Test statistic N2_d15_N2_d5,Sign p-val: 0.05 ,,
"CELE_Y62E10A,13",-0.272176,0.168846,A0A061ACH4;A0A061ACK7;A0A061ADS3;A0A061AKN1;Q95Q10;Q9U1W6;Q9U1W7,Uncharacterized protein,11.3945,11.8454,12.0607,12.7939,10.7246,12.8939,13.1994,12.3652,0.168846,0.578022,-0.272176,-0.436298,,,
cars-1,0.73712,1.93498,A0A061ACL3,Cysteinyl Amino-acyl tRNA Synthetase,17.0012,16.427,16.4786,16.2597,16.0288,16.0264,15.5569,15.6059,1.93498,0.00835052,0.73712,3.58202,+,,
eps-8,0.72558,1.08553,A0A061ACM2;A0A061ACP8;A0A061ADW6,EPS (Human endocytosis) related,14.7489,13.651,14.3442,14.5962,14.1342,12.9341,13.6492,13.7203,1.08553,0.0521575,0.72558,2.08535,,,
"CELE_T14G10,5;CELE_T14G10,5;T14G10,5;CELE_T14G10,5",0.166488,0.275318,A0A061ACR1;F5GUA3;Q22498;Q2XN02,Coatomer subunit gamma;Coatomer subunit gamma;Probable coatomer subunit gamma;Coatomer subunit gamma,17.1779,16.7638,16.9089,17.28,17.5171,16.5847,16.6106,16.7523,0.275318,0.419419,0.166488,0.665453,,,
pezo-1,1.35111,1.64159,A0A061ACU2;A0A061AE33;A0A061AJB7;C6KRJ3;D0VWN8;H9G2S2;H9G2S3;Q17897,Piezo-type mechanosensitive ion channel component,15.1979,15.0917,15.0032,16.7631,13.722,14.2385,14.3964,14.2946,1.64159,0.0158884,1.35111,3.03925,+,,
twk-9,-3.0332,3.51785,A0A061AD18,TWiK family of potassium channels,15.0646,14.0276,15.4946,15.6371,17.6586,18.4575,18.3246,17.916,3.51785,0.00070339,-3.0332,-7.44074,+,,
epi-1,-0.163337,0.434195,A0A061AD21;A0A061AJI9;C1P640;C1P641;G5EEV6;Q21313,Uncharacterized protein;Uncharacterized protein;Uncharacterized protein;Uncharacterized protein;Laminin alpha;Laminin-like protein epi-1,17.454,17.4416,17.0252,17.381,17.6514,17.3559,17.1822,17.7655,0.434195,0.266202,-0.163337,-0.973364,,,
kdin-1,0.278027,0.465235,A0A061AD39;A0A061AD72;A0A061AEC1;A0A061AJK4;A0A061AL87;Q067Y1;Q20109;Q27GQ4,KiDINs220 (Vertebrate scaffold protein) homolog,13.6171,14.009,13.8207,13.7303,13.4012,12.9817,14.2163,13.4658,0.465235,0.245282,0.278027,1.03034,,,
tag-273,-0.69759,2.97768,A0A061AD47;A0A061AE99;Q86CZ7,Uncharacterized protein,16.2946,16.0933,16.3976,16.5315,16.9615,16.9142,16.9885,17.2432,2.97768,0.0016697,-0.69759,-5.90057,+,,
"CELE_F13H10,3;CELE_F13H10,3;F13H10,3;CELE_F13H10,3",0.134611,0.179685,A0A061ADY8;Q0G831;Q19425;Q8T3E2,Uncharacterized protein;Uncharacterized protein;Sodium-coupled neutral amino acid transporter 9 homolog;Uncharacterized protein,11.832,12.6645,13.1658,12.7295,12.5762,12.6283,12.41,12.2389,0.179685,0.558042,0.134611,0.460799,,,
pps-1,0.666608,1.18823,A0A061AE05;Q22501,3'-Phosphoadenosine 5'-Phosphosulfate Synthetase,15.271,14.9418,15.2142,15.653,14.3474,14.1023,14.6768,15.287,1.18823,0.0418175,0.666608,2.25684,+,,
