geneName,log2FC,pvalue,ProteinAccessions,ProteinDescriptions,log2 eat2_d5_01,log2 eat2_d5_02,log2 eat2_d5_03,log2 eat2_d5_04,log2 N2_d5_01,log2 N2_d5_02,log2 N2_d5_03,log2 N2_d5_04, -Log.p.value,Student's T-test q-value eat2_d5_N2_d5,log2FC,Student's T-test Test statistic eat2_d5_N2_d5,Sign p-val: 0.05 
"CELE_Y62E10A,13",1.33618,1.0392,A0A061ACH4;A0A061ACK7;A0A061ADS3;A0A061AKN1;Q95Q10;Q9U1W6;Q9U1W7,Uncharacterized protein,13.6624,14.6705,13.0161,13.1788,10.7246,12.8939,13.1994,12.3652,1.0392,0.0456865,1.33618,2.0083,+
cars-1,1.06286,3.5122,A0A061ACL3,Cysteinyl Amino-acyl tRNA Synthetase,16.9482,16.9907,16.7258,16.8047,16.0288,16.0264,15.5569,15.6059,3.5122,0.00070494,1.06286,7.42313,+
eps-8,-0.217062,0.365207,A0A061ACM2;A0A061ACP8;A0A061ADW6,EPS (Human endocytosis) related,13.2868,13.2943,13.4311,13.5574,14.1342,12.9341,13.6492,13.7203,0.365207,0.295429,-0.217062,-0.843447,
"CELE_T14G10,5;CELE_T14G10,5;T14G10,5;CELE_T14G10,5",-0.0523,0.0841208,A0A061ACR1;F5GUA3;Q22498;Q2XN02,Coatomer subunit gamma;Coatomer subunit gamma;Probable coatomer subunit gamma;Coatomer subunit gamma,16.7278,16.9222,16.7445,16.861,17.5171,16.5847,16.6106,16.7523,0.0841208,0.737802,-0.0523,-0.232458,
pezo-1,0.210135,0.359833,A0A061ACU2;A0A061AE33;A0A061AJB7;C6KRJ3;D0VWN8;H9G2S2;H9G2S3;Q17897,Piezo-type mechanosensitive ion channel component,14.9797,14.1831,14.1785,14.1505,13.722,14.2385,14.3964,14.2946,0.359833,0.300128,0.210135,0.833109,
twk-9,-1.29897,3.05675,A0A061AD18,TWiK family of potassium channels,16.7245,16.8547,16.5382,17.0434,17.6586,18.4575,18.3246,17.916,3.05675,0.000648649,-1.29897,-6.10888,+
epi-1,-0.209953,0.746954,A0A061AD21;A0A061AJI9;C1P640;C1P641;G5EEV6;Q21313,Uncharacterized protein;Uncharacterized protein;Uncharacterized protein;Uncharacterized protein;Laminin alpha;Laminin-like protein epi-1,17.3778,17.2611,17.2211,17.2552,17.6514,17.3559,17.1822,17.7655,0.746954,0.100548,-0.209953,-1.52099,
kdin-1,0.515165,0.764209,A0A061AD39;A0A061AD72;A0A061AEC1;A0A061AJK4;A0A061AL87;Q067Y1;Q20109;Q27GQ4,KiDINs220 (Vertebrate scaffold protein) homolog,14.5667,14.1245,13.5735,13.8609,13.4012,12.9817,14.2163,13.4658,0.764209,0.0957024,0.515165,1.55006,
tag-273,-0.136783,0.879904,A0A061AD47;A0A061AE99;Q86CZ7,Uncharacterized protein,16.9522,16.8906,16.8216,16.896,16.9615,16.9142,16.9885,17.2432,0.879904,0.0696981,-0.136783,-1.74359,
"CELE_F13H10,3;CELE_F13H10,3;F13H10,3;CELE_F13H10,3",0.454426,1.88761,A0A061ADY8;Q0G831;Q19425;Q8T3E2,Uncharacterized protein;Uncharacterized protein;Sodium-coupled neutral amino acid transporter 9 homolog;Uncharacterized protein,13.204,12.8146,12.8455,12.807,12.5762,12.6283,12.41,12.2389,1.88761,0.00545816,0.454426,3.49189,+
