geneName,log2FC,pvalue,Protein IDs,Protein.names,log2 rpn6_01,log2 rpn6_02,log2 rpn6_03,log2 ev_01,log2 ev_02,log2 ev_03, -Log.p.value, Student's T-test q-value rpn6_ev,log2FC,Student's T-test Test statistic rpn6_ev,Sign p-val: 0.05 
cars-1,0.845594,0.345905,A0A061ACL3;Q965I6;O76618,,29.8858,29.077,29.0522,26.554,29.2725,29.6518,0.345905,0.519185,0.845594,0.834547,
,1.27261,2.27379,A0A061ADT4;A0A061ACL9;Q9N478,,25.3778,25.7535,26.1147,24.548,24.5846,24.2957,2.27379,0.0105475,1.27261,5.50128,+
eps-8,1.21625,1.69002,Q7YTG2;A0A061AJ42;Q7YTG1;O18250;A0A061ACM2;A0A061ADW6;G5ED33;A0A061ACP8;G5EFE0;A0A061AKT4,,31.914,31.8511,31.7412,30.0162,30.7212,31.1201,1.69002,0.0237522,1.21625,3.72325,+
T14G10.5,-0.761403,1.28147,A0A061ACR1;Q2XN02;F5GUA3;Q22498,Coatomer subunit gamma;Probable coatomer subunit gamma,29.0424,28.7195,29.6037,29.8158,29.7457,30.0883,1.28147,0.0479949,-0.761403,-2.73259,+
unc-22,0.522948,2.09421,H2FLH2;A0A061ACT3;A0A061AE24;Q23551;H2FLH3,Twitchin,33.963,33.9053,34.1288,33.3228,33.4972,33.6083,2.09421,0.0129703,0.522948,4.899,+
pezo-1,-0.892837,1.37372,A0A067XG44;A0A061AL01;O01260;B9WRT3;C6KRJ3;H9G2S2;A0A061AE33;A0A061AJB7;Q17897;H9G2S3;D0VWN8;A0A061ACU2,Piezo-type mechanosensitive ion channel component,27.7274,27.2877,26.8478,27.8515,28.304,28.3859,1.37372,0.0411108,-0.892837,-2.94225,+
epi-1,-0.152197,0.149618,C1P641;C1P640;A0A061AD21;G5EEV6;A0A061AJI9;Q21313,Laminin-like protein epi-1,30.3697,30.7285,30.6265,30.074,31.3311,30.7763,0.149618,0.824248,-0.152197,-0.401512,
tag-273,0.399374,0.70517,Q86CZ7;H2L2L1;A0A061AE99;A0A061AD47;O18221,,31.8681,32.3075,32.0571,31.2368,31.8232,31.9745,0.70517,0.184913,0.399374,1.5453,
R11A8.7,3.03672,3.82612,A0A061AL89;A0A061AJK8;Q21920,Ankyrin repeat and KH domain-containing protein R11A8.7,27.7501,27.2384,27.2975,24.3189,24.6692,24.1878,3.82612,0.001,3.03672,14.0421,+
lin-66,2.27871,2.23484,D3YT69;A0A061AL58;O62020,,27.4579,26.2518,26.3084,24.0727,24.575,24.5342,2.23484,0.0108726,2.27871,5.36593,+
