geneName,log2FC,pvalue,ProteinAccessions,ProteinDescriptions,log2 eat2_d10_01,log2 eat2_d10_02,log2 eat2_d10_03,log2 eat2_d10_04,log2 eat2_d1_01,log2 eat2_d1_02,log2 eat2_d1_03,log2 eat2_d1_04, -Log.p.value,Student's T-test q-value eat2_d10_eat2_d1,log2FC,Student's T-test Test statistic eat2_d10_eat2_d1,Sign p-val: 0.05 
"CELE_Y62E10A,13",-1.16442,1.71331,A0A061ACH4;A0A061ACK7;A0A061ADS3;A0A061AKN1;Q95Q10;Q9U1W6;Q9U1W7,Uncharacterized protein,11.8582,11.9786,11.6818,13.1573,12.9683,13.6616,13.4782,13.2256,1.71331,0.00611034,-1.16442,-3.16871,+
cars-1,1.23866,2.79203,A0A061ACL3,Cysteinyl Amino-acyl tRNA Synthetase,17.491,17.7836,16.9469,16.8786,16.1567,15.8846,16.141,15.9632,2.79203,0.000714524,1.23866,5.43214,+
eps-8,-0.26897,0.559799,A0A061ACM2;A0A061ACP8;A0A061ADW6,EPS (Human endocytosis) related,13.3212,13.2322,12.972,13.1131,13.8975,12.8773,13.4087,13.531,0.559799,0.11667,-0.26897,-1.19949,
"CELE_T14G10,5;CELE_T14G10,5;T14G10,5;CELE_T14G10,5",1.13263,3.33061,A0A061ACR1;F5GUA3;Q22498;Q2XN02,Coatomer subunit gamma;Coatomer subunit gamma;Probable coatomer subunit gamma;Coatomer subunit gamma,17.9998,17.8431,17.431,17.6452,16.91,16.4458,16.5862,16.4466,3.33061,0.000501119,1.13263,6.8745,+
pezo-1,1.10454,2.60306,A0A061ACU2;A0A061AE33;A0A061AJB7;C6KRJ3;D0VWN8;H9G2S2;H9G2S3;Q17897,Piezo-type mechanosensitive ion channel component,15.2204,15.3511,15.7552,16.1355,14.6784,14.3752,14.6108,14.3797,2.60306,0.00105381,1.10454,4.983,+
twk-9,-0.866653,2.72913,A0A061AD18,TWiK family of potassium channels,16.561,16.156,16.7497,16.1041,17.2252,17.1974,17.211,17.4039,2.72913,0.000817344,-0.866653,-5.27967,+
epi-1,1.33658,5.1967,A0A061AD21;A0A061AJI9;C1P640;C1P641;G5EEV6;Q21313,Uncharacterized protein;Uncharacterized protein;Uncharacterized protein;Uncharacterized protein;Laminin alpha;Laminin-like protein epi-1,18.0254,17.6787,17.736,17.8522,16.5375,16.3752,16.5971,16.4363,5.1967,0,1.33658,14.6473,+
kdin-1,1.03181,1.7749,A0A061AD39;A0A061AD72;A0A061AEC1;A0A061AJK4;A0A061AL87;Q067Y1;Q20109;Q27GQ4,KiDINs220 (Vertebrate scaffold protein) homolog,14.6547,14.2895,14.3799,14.205,13.0048,13.8586,13.8529,12.6856,1.7749,0.00548023,1.03181,3.28145,+
tag-273,0.979905,4.3543,A0A061AD47;A0A061AE99;Q86CZ7,Uncharacterized protein,17.2222,16.9598,16.8673,16.9006,15.9666,15.9984,15.9232,16.1421,4.3543,0.00010625,0.979905,10.4832,+
"CELE_F13H10,3;CELE_F13H10,3;F13H10,3;CELE_F13H10,3",0.837395,2.67608,A0A061ADY8;Q0G831;Q19425;Q8T3E2,Uncharacterized protein;Uncharacterized protein;Sodium-coupled neutral amino acid transporter 9 homolog;Uncharacterized protein,13.4196,13.8567,13.4172,13.5172,13.082,12.5815,12.6605,12.5371,2.67608,0.000837356,0.837395,5.15341,+
pps-1,1.59854,2.45073,A0A061AE05;Q22501,3'-Phosphoadenosine 5'-Phosphosulfate Synthetase,16.4563,15.7657,15.6139,15.7992,14.9067,13.8865,13.7469,14.701,2.45073,0.00128015,1.59854,4.63955,+
cka-1,0.281152,0.229427,A0A061AIW1;B3GWD5;O17610,Choline Kinase A,14.9148,13.9611,15.9528,15.8218,14.5009,14.8805,14.8057,15.3388,0.229427,0.351978,0.281152,0.569601,
"CELE_R11A8,7;CELE_R11A8,7;R11A8,7",-0.764407,0.527912,A0A061AJK8;A0A061AL89;Q21920,"Uncharacterized protein;Uncharacterized protein;Ankyrin repeat and KH domain-containing protein R11A8,7",13.1864,10.5308,11.6429,13.2391,12.9254,12.9859,13.2029,12.5426,0.527912,0.128762,-0.764407,-1.14311,
spp-18,4.83447,3.29036,A0A061AKY5;Q19837,SaPosin-like Protein family,19.7195,19.6969,18.1225,18.6918,13.4882,13.6665,16.0098,13.7283,3.29036,0.000485549,4.83447,6.75748,+
lin-66,-0.880376,1.03129,A0A061AL58;O62020,Uncharacterized protein,13.2004,13.2416,12.5728,13.0108,13.6137,13.1062,13.7746,15.0526,1.03129,0.0323834,-0.880376,-1.99515,+
