geneName,log2FC,pvalue,ProteinAccessions,ProteinDescriptions,log2 daf2_d15_01,log2 daf2_d15_02,log2 daf2_d15_03,log2 daf2_d15_04,log2 eat2_d15_01,log2 eat2_d15_02,log2 eat2_d15_03,log2 eat2_d15_04, -Log.p.value,Student's T-test q-value daf2_d15_eat2_d15,log2FC,Student's T-test Test statistic daf2_d15_eat2_d15,Sign p-val: 0.05 
"CELE_Y62E10A,13",-3.3832,2.94094,A0A061ACH4;A0A061ACK7;A0A061ADS3;A0A061AKN1;Q95Q10;Q9U1W6;Q9U1W7,Uncharacterized protein,12.2069,12.0594,9.76451,11.8261,14.6929,14.6219,15.0714,15.0036,2.94094,0.000211221,-3.3832,-5.8056,+
cars-1,-2.18323,3.19393,A0A061ACL3,Cysteinyl Amino-acyl tRNA Synthetase,15.8211,16.1505,15.4504,15.4914,17.3614,18.3607,17.4468,18.4773,3.19393,0.000183066,-2.18323,-6.48354,+
eps-8,-2.90665,4.275,A0A061ACM2;A0A061ACP8;A0A061ADW6,EPS (Human endocytosis) related,12.2998,11.8259,11.4712,11.7534,14.2241,15.3397,14.695,14.718,4.275,0.00010118,-2.90665,-10.1538,+
"CELE_T14G10,5;CELE_T14G10,5;T14G10,5;CELE_T14G10,5",-0.575793,2.10481,A0A061ACR1;F5GUA3;Q22498;Q2XN02,Coatomer subunit gamma;Coatomer subunit gamma;Probable coatomer subunit gamma;Coatomer subunit gamma,16.9059,16.8133,16.6107,17.1328,17.278,17.2816,17.5184,17.6879,2.10481,0.0014747,-0.575793,-3.91403,+
pezo-1,-1.44105,3.23631,A0A061ACU2;A0A061AE33;A0A061AJB7;C6KRJ3;D0VWN8;H9G2S2;H9G2S3;Q17897,Piezo-type mechanosensitive ion channel component,14.9222,14.4529,15.2528,15.1532,16.0356,16.4429,16.43,16.6367,3.23631,0.000185874,-1.44105,-6.60283,+
twk-9,1.80688,1.8741,A0A061AD18,TWiK family of potassium channels,17.1845,15.4121,16.1883,17.3328,14.6643,14.6084,14.1804,15.4371,1.8741,0.00237274,1.80688,3.46637,+
epi-1,-2.56865,4.89858,A0A061AD21;A0A061AJI9;C1P640;C1P641;G5EEV6;Q21313,Uncharacterized protein;Uncharacterized protein;Uncharacterized protein;Uncharacterized protein;Laminin alpha;Laminin-like protein epi-1,17.394,16.9375,17.068,17.1822,19.3013,19.958,19.5637,20.0334,4.89858,8.58E-05,-2.56865,-13.0228,+
kdin-1,-1.64565,1.80803,A0A061AD39;A0A061AD72;A0A061AEC1;A0A061AJK4;A0A061AL87;Q067Y1;Q20109;Q27GQ4,KiDINs220 (Vertebrate scaffold protein) homolog,12.3697,13.9836,12.3076,13.9048,14.9805,15.0657,14.7737,14.3285,1.80803,0.00277665,-1.64565,-3.34275,+
tag-273,-0.812963,2.03026,A0A061AD47;A0A061AE99;Q86CZ7,Uncharacterized protein,17.7318,17.2426,16.9599,17.1441,17.8152,18.0893,17.9604,18.4654,2.03026,0.00183631,-0.812963,-3.76651,+
"CELE_F13H10,3;CELE_F13H10,3;F13H10,3;CELE_F13H10,3",-2.28321,3.96885,A0A061ADY8;Q0G831;Q19425;Q8T3E2,Uncharacterized protein;Uncharacterized protein;Sodium-coupled neutral amino acid transporter 9 homolog;Uncharacterized protein,12.8317,12.2961,12.512,12.9942,14.5301,15.4822,14.9562,14.7982,3.96885,0.000117728,-2.28321,-8.96757,+
pps-1,-1.33074,1.62316,A0A061AE05;Q22501,3'-Phosphoadenosine 5'-Phosphosulfate Synthetase,15.4369,14.6658,15.0787,16.4961,16.3486,16.9502,17.2291,16.4725,1.62316,0.00459623,-1.33074,-3.00629,+
cka-1,-2.64637,3.96062,A0A061AIW1;B3GWD5;O17610,Choline Kinase A,13.6777,14.3371,14.6652,14.6894,17.0288,16.4714,17.191,17.2637,3.96062,0.000116848,-2.64637,-8.93743,+
"CELE_R11A8,7;CELE_R11A8,7;R11A8,7",-0.940994,1.45939,A0A061AJK8;A0A061AL89;Q21920,"Uncharacterized protein;Uncharacterized protein;Ankyrin repeat and KH domain-containing protein R11A8,7",14.2176,14.4117,13.4286,13.2425,14.7691,14.5101,14.4768,15.3084,1.45939,0.00685888,-0.940994,-2.71828,+
spp-18,1.35779,2.92889,A0A061AKY5;Q19837,SaPosin-like Protein family,16.5696,15.9392,15.6755,16.5092,14.6074,14.9306,14.7396,14.9846,2.92889,0.000210008,1.35779,5.7747,+
lin-66,-0.0786352,0.0570014,A0A061AL58;O62020,Uncharacterized protein,14.5355,14.6999,14.4939,14.9344,13.3425,15.221,14.9797,15.4351,0.0570014,0.680153,-0.0786352,-0.161503,
"CELE_F09E10,7",-0.199539,0.268175,A0A078BPG0,Uncharacterized protein,14.2578,13.9932,14.6474,15.1687,14.9222,15.0741,14.3462,14.5228,0.268175,0.224229,-0.199539,-0.650783,
"CELE_F10C1,9",-2.39124,3.38964,A0A078BPH9;G4S1A4,Uncharacterized protein,12.2985,11.947,12.4792,11.8912,14.4955,13.7579,14.6724,15.255,3.38964,0.000125799,-2.39124,-7.04909,+
itx-1,-1.21395,4.86063,A0A078BPJ4;A0A078BPL3;A0A078BS63;H1ZUX6;O45000,InTestinal NeureXin-like,15.2263,15.4442,15.1319,15.1181,16.3116,16.5902,16.4232,16.4513,4.86063,8.30E-05,-1.21395,-12.8287,+
"CELE_Y41E3,7",-1.2026,2.16378,A0A078BQL1;O62444;Q2XMY1,Uncharacterized protein,14.3675,14.3236,13.5239,14.0069,15.1169,15.2052,14.8207,15.8897,2.16378,0.00114118,-1.2026,-4.03281,+
