geneName,log2FC,pvalue,ProteinAccessions,ProteinDescriptions,log2 eat2_d15_01,log2 eat2_d15_02,log2 eat2_d15_03,log2 eat2_d15_04,log2 eat2_d10_01,log2 eat2_d10_02,log2 eat2_d10_03,log2 eat2_d10_04, -Log.p.value,Student's T-test q-value eat2_d15_eat2_d10,log2FC,Student's T-test Test statistic eat2_d15_eat2_d10,Sign p-val: 0.05 
"CELE_Y62E10A,13",2.67847,3.56388,A0A061ACH4;A0A061ACK7;A0A061ADS3;A0A061AKN1;Q95Q10;Q9U1W6;Q9U1W7,Uncharacterized protein,14.6929,14.6219,15.0714,15.0036,11.8582,11.9786,11.6818,13.1573,3.56388,0.000306011,2.67847,7.5857,+
cars-1,0.636526,0.876238,A0A061ACL3,Cysteinyl Amino-acyl tRNA Synthetase,17.3614,18.3607,17.4468,18.4773,17.491,17.7836,16.9469,16.8786,0.876238,0.046721,0.636526,1.73748,+
eps-8,1.58457,3.22644,A0A061ACM2;A0A061ACP8;A0A061ADW6,EPS (Human endocytosis) related,14.2241,15.3397,14.695,14.718,13.3212,13.2322,12.972,13.1131,3.22644,0.000605974,1.58457,6.5749,+
"CELE_T14G10,5;CELE_T14G10,5;T14G10,5;CELE_T14G10,5",-0.288308,0.925875,A0A061ACR1;F5GUA3;Q22498;Q2XN02,Coatomer subunit gamma;Coatomer subunit gamma;Probable coatomer subunit gamma;Coatomer subunit gamma,17.278,17.2816,17.5184,17.6879,17.9998,17.8431,17.431,17.6452,0.925875,0.0407936,-0.288308,-1.82006,+
pezo-1,0.77075,1.71729,A0A061ACU2;A0A061AE33;A0A061AJB7;C6KRJ3;D0VWN8;H9G2S2;H9G2S3;Q17897,Piezo-type mechanosensitive ion channel component,16.0356,16.4429,16.43,16.6367,15.2204,15.3511,15.7552,16.1355,1.71729,0.00734871,0.77075,3.17595,+
twk-9,-1.67017,2.81004,A0A061AD18,TWiK family of potassium channels,14.6643,14.6084,14.1804,15.4371,16.561,16.156,16.7497,16.1041,2.81004,0.00112172,-1.67017,-5.47636,+
epi-1,1.891,4.25005,A0A061AD21;A0A061AJI9;C1P640;C1P641;G5EEV6;Q21313,Uncharacterized protein;Uncharacterized protein;Uncharacterized protein;Uncharacterized protein;Laminin alpha;Laminin-like protein epi-1,19.3013,19.958,19.5637,20.0334,18.0254,17.6787,17.736,17.8522,4.25005,0,1.891,10.0521,+
kdin-1,0.404811,1.10297,A0A061AD39;A0A061AD72;A0A061AEC1;A0A061AJK4;A0A061AL87;Q067Y1;Q20109;Q27GQ4,KiDINs220 (Vertebrate scaffold protein) homolog,14.9805,15.0657,14.7737,14.3285,14.6547,14.2895,14.3799,14.205,1.10297,0.0268562,0.404811,2.11441,+
tag-273,1.09511,3.30629,A0A061AD47;A0A061AE99;Q86CZ7,Uncharacterized protein,17.8152,18.0893,17.9604,18.4654,17.2222,16.9598,16.8673,16.9006,3.30629,0.000552138,1.09511,6.80361,+
"CELE_F13H10,3;CELE_F13H10,3;F13H10,3;CELE_F13H10,3",1.38904,3.07214,A0A061ADY8;Q0G831;Q19425;Q8T3E2,Uncharacterized protein;Uncharacterized protein;Sodium-coupled neutral amino acid transporter 9 homolog;Uncharacterized protein,14.5301,15.4822,14.9562,14.7982,13.4196,13.8567,13.4172,13.5172,3.07214,0.000768937,1.38904,6.15007,+
pps-1,0.841294,1.63474,A0A061AE05;Q22501,3'-Phosphoadenosine 5'-Phosphosulfate Synthetase,16.3486,16.9502,17.2291,16.4725,16.4563,15.7657,15.6139,15.7992,1.63474,0.00856492,0.841294,3.02698,+
cka-1,1.82609,1.98753,A0A061AIW1;B3GWD5;O17610,Choline Kinase A,17.0288,16.4714,17.191,17.2637,14.9148,13.9611,15.9528,15.8218,1.98753,0.00445651,1.82609,3.68321,+
"CELE_R11A8,7;CELE_R11A8,7;R11A8,7",2.61632,2.06548,A0A061AJK8;A0A061AL89;Q21920,"Uncharacterized protein;Uncharacterized protein;Ankyrin repeat and KH domain-containing protein R11A8,7",14.7691,14.5101,14.4768,15.3084,13.1864,10.5308,11.6429,13.2391,2.06548,0.00375684,2.61632,3.83585,+
spp-18,-4.24208,4.36636,A0A061AKY5;Q19837,SaPosin-like Protein family,14.6074,14.9306,14.7396,14.9846,19.7195,19.6969,18.1225,18.6918,4.36636,0,-4.24208,-10.5341,+
lin-66,1.73816,1.87754,A0A061AL58;O62020,Uncharacterized protein,13.3425,15.221,14.9797,15.4351,13.2004,13.2416,12.5728,13.0108,1.87754,0.00537271,1.73816,3.47285,+
"CELE_F09E10,7",-0.772435,0.275166,A0A078BPG0,Uncharacterized protein,14.9222,15.0741,14.3462,14.5228,17.8345,17.0631,13.2338,13.8236,0.275166,0.284403,-0.772435,-0.665141,
"CELE_F10C1,9",0.368586,0.442178,A0A078BPH9;G4S1A4,Uncharacterized protein,14.4955,13.7579,14.6724,15.255,14.5694,14.4741,13.679,13.984,0.442178,0.159654,0.368586,0.988096,
itx-1,0.463458,2.47026,A0A078BPJ4;A0A078BPL3;A0A078BS63;H1ZUX6;O45000,InTestinal NeureXin-like,16.3116,16.5902,16.4232,16.4513,16.1498,16.0867,15.8294,15.8565,2.47026,0.00183677,0.463458,4.68269,+
"CELE_Y41E3,7",0.841478,0.725709,A0A078BQL1;O62444;Q2XMY1,Uncharacterized protein,15.1169,15.2052,14.8207,15.8897,14.3975,14.9845,12.9662,15.3183,0.725709,0.0700421,0.841478,1.4851,
"CELE_Y105C5B,15",2.13779,4.58722,A0A078BQP7;Q9U309,Purple acid phosphatase,14.8389,15.4545,15.0084,15.3403,13.3157,12.9472,12.7502,13.0779,4.58722,0,2.13779,11.5079,+
lim-9,-0.218188,0.541318,A0A0K3AQM0;A0A0K3ATK8;G5ECN3;G5EEA4;G5EF39,LIM domain family,14.9571,15.1334,14.5622,14.6738,15.3832,14.8193,14.8473,15.1495,0.541318,0.117932,-0.218188,-1.16689,
"CELE_Y105E8A,25",0.805709,1.61105,A0A0K3AQN0;A0A0K3ATL6;A0A0K3AWN6,Uncharacterized protein,14.9662,15.3609,14.9144,15.1615,13.9614,13.7784,14.6478,14.7926,1.61105,0.00896414,0.805709,2.98468,+
pgp-2,1.2609,0.890412,A0A0K3AQN5;A0A0K3AU66;A0A0K3AWK1;G5EDF9,P-GlycoProtein related;P-GlycoProtein related;P-GlycoProtein related;ABC transporter PGP-2,16.263,15.942,16.5103,18.9858,15.6228,16.1057,15.6253,15.3039,0.890412,0.0450672,1.2609,1.76108,+
lpd-3,-0.837186,1.16567,A0A0K3AQT9;A0A0K3ATS5;A0A0K3AUC6;A0A0K3AWP8,LiPid Depleted,14.7356,14.4461,14.7467,15.4556,15.3052,15.0215,16.074,16.332,1.16567,0.0229562,-0.837186,-2.21906,+
tln-1,-0.151264,0.220005,A0A0K3AQU9,TaLiN,14.9324,15.4181,14.2691,14.7208,14.6647,14.9014,15.0604,15.3191,0.220005,0.354042,-0.151264,-0.549416,
max-2,-0.668263,0.875049,A0A0K3AQV8;A0A0K3AUE7;G5EGQ3,Non-specific serine/threonine protein kinase;Non-specific serine/threonine protein kinase;Serine/threonine-protein kinase max-2,14.9873,14.8484,14.0506,15.3082,16.1548,15.1678,14.8959,15.649,0.875049,0.0468324,-0.668263,-1.7355,+
egl-27,1.18695,1.04842,A0A0K3AQW8;A0A0K3AQX3;A0A0K3ARG1;A0A0K3ARG6;A0A0K3ATV0;A0A0K3ATV3;A0A0K3ATV6;A0A0K3AUG2;A0A0K3AWS4;A0A0K3AWS8;Q09228,Uncharacterized protein;Uncharacterized protein;Uncharacterized protein;Uncharacterized protein;Uncharacterized protein;Uncharacterized protein;Uncharacterized protein;Uncharacterized protein;Uncharacterized protein;Uncharacterized protein;Egg-laying defective protein 27,14.4995,14.7387,12.7065,15.4268,13.2442,13.2268,12.8905,13.262,1.04842,0.0307551,1.18695,2.02363,+
