geneName,log2FC,pvalue,Leading.proteins,Proteins,Protein.names,Positions.within.proteins,Localization.prob,log2 N2_d10_01,log2 N2_d10_02,log2 N2_d10_03,log2 N2_d10_04,log2 N2_d5_01,log2 N2_d5_02,log2  N2_d5_03,log2 N2_d5_04, -Log.p.value, Student's T-test q-value N2_d10_N2_d5,log2FC,Student's T-test Test statistic N2_d10_N2_d5,Sign p-val: 0.05 
eps-8,-4.37021,2.9613,G5ED33,G5ED33;A0A061ACP8;O18250;A0A061ADW6;Q7YTG1;A0A061ACM2;G5EFE0;Q7YTG2;A0A061AJ42,,542;567;487;512;470;495;567;290;315,1,17.5327,19.8041,20.9319,19.6009,23.8555,23.2074,23.9511,24.3365,2.9613,0.00046696,-4.37021,-5.85808,+
eps-8,-1.78116,0.866347,G5ED33,G5ED33;A0A061ACP8;O18250;A0A061ADW6;Q7YTG1;A0A061ACM2;G5EFE0;Q7YTG2;A0A061AJ42,,562;587;507;532;490;515;587;310;335,1,17.1798,18.6986,21.2561,21.0882,21.9286,21.3864,20.4347,21.5976,0.866347,0.0366301,-1.78116,-1.721,+
eps-8,-4.04217,2.51708,G5ED33,G5ED33;A0A061ACP8;O18250;A0A061ADW6;Q7YTG1;A0A061ACM2;G5EFE0;Q7YTG2;A0A061AJ42,,621;646;566;591;549;574;646;369;394,1,20.7311,21.7289,19.4175,17.9633,23.4835,24.2371,23.8393,24.4495,2.51708,0.000786012,-4.04217,-4.78719,+
eps-8,1.5438,2.14862,G5ED33,G5ED33;A0A061ACP8;O18250;A0A061ADW6;Q7YTG1;A0A061ACM2;G5EFE0;Q7YTG2;A0A061AJ42,,524;549;469;494;452;477;549;272;297,1,25.4427,25.1152,25.5114,24.5829,22.9099,24.0892,24.2362,23.2418,2.14862,0.00162517,1.5438,4.0021,+
eps-8,2.54212,2.04611,G5ED33,G5ED33;A0A061ACP8;O18250;A0A061ADW6;Q7YTG1;A0A061ACM2;Q7YTG2;A0A061AJ42;A0A061AKT4,,755;780;700;725;683;708;503;528;17,1,23.8439,24.3591,25.0551,24.8455,21.8965,20.3186,22.5549,23.1651,2.04611,0.00216699,2.54212,3.79764,+
eps-8,-1.69783,1.788,G5ED33,G5ED33;A0A061ACP8;O18250;A0A061ADW6;Q7YTG1;A0A061ACM2;G5EFE0;Q7YTG2;A0A061AJ42,,537;562;482;507;465;490;562;285;310,0.999896,18.8139,19.5756,21.0625,19.1871,21.1765,21.0658,21.4885,21.6995,1.788,0.00352222,-1.69783,-3.30563,+
eps-8,-2.29075,3.35816,G5ED33,G5ED33;A0A061ACP8;O18250;A0A061ADW6;Q7YTG1;A0A061ACM2;G5EFE0;Q7YTG2;A0A061AJ42,,583;608;528;553;511;536;608;331;356,1,19.1268,19.4666,19.463,19.8508,20.9889,21.6704,22.3464,22.0644,3.35816,0.000221198,-2.29075,-6.95553,+
,0.340594,0.300381,A0A061ACQ8,A0A061ACQ8;Q9BKW4,,315;64,1,25.1179,25.6788,25.3254,25.0607,23.9196,24.8655,24.899,26.1364,0.300381,0.268649,0.340594,0.716257,
,-2.70664,1.82352,A0A061ACQ8,A0A061ACQ8;Q9BKW4,,294;43,1,19.3402,20.135,17.2983,16.8941,21.5992,20.809,20.9413,21.1447,1.82352,0.00328839,-2.70664,-3.37156,+
,-6.61896,4.52449,A0A061ACQ8,A0A061ACQ8,,133,0.5,18.8628,20.9229,20.6477,21.4521,27.2762,26.8353,26.7459,27.5041,4.52449,0,-6.61896,-11.2233,+
,-6.96587,4.73672,A0A061ACQ8,A0A061ACQ8,,135,0.5,19.9375,18.9843,21.5938,19.9823,27.2762,26.8353,26.7459,27.5041,4.73672,0,-6.96587,-12.2135,+
T14G10.5,-5.24735,5.81824,A0A061ACR1,A0A061ACR1;Q2XN02;F5GUA3;Q22498,Coatomer subunit gamma;Probable coatomer subunit gamma,589;600;602;587,1,19.7171,19.1901,19.1267,19.7952,24.8872,25.1844,24.1479,24.599,5.81824,0,-5.24735,-18.6788,+
pezo-1,-1.21912,0.452835,A0A061AL01,A0A061AL01;O01260;B9WRT3;C6KRJ3;H9G2S2;A0A061AE33;A0A061AJB7;Q17897;H9G2S3;D0VWN8;A0A061ACU2;A0A067XG44,Piezo-type mechanosensitive ion channel component,989;1007;1033;1703;1705;1705;1707;1741;1743;1743;1745;341,1,16.1122,19.4221,20.4245,20.9586,21.2511,21.1867,18.9654,20.3907,0.452835,0.152112,-1.21912,-1.00768,
pezo-1,-2.1606,2.6482,A0A061AL01,A0A061AL01;O01260;B9WRT3;C6KRJ3;H9G2S2;A0A061AE33;A0A061AJB7;Q17897;H9G2S3;D0VWN8;A0A061ACU2,Piezo-type mechanosensitive ion channel component,593;611;611;1307;1309;1309;1311;1345;1347;1347;1349,0.998959,21.007,19.7355,20.3847,19.7913,23.1739,22.0387,21.808,22.5403,2.6482,0.000568365,-2.1606,-5.08789,+
,2.16665,1.40301,B3GWD8,B3GWD8;A0A061ACV1;O18057,,179;423;536,0.999973,22.6992,22.7306,24.1893,21.0493,21.5379,19.9172,21.2065,19.3403,1.40301,0.0081246,2.16665,2.62096,+
,-1.93164,1.11008,B3GWD8,B3GWD8;A0A061ACV1;O18057,,187;431;544,0.999982,20.5715,19.9464,17.1615,21.2368,21.8973,21.7259,21.2138,21.8058,1.11008,0.0184345,-1.93164,-2.12626,+
,-0.517033,0.348347,B3GWD8,B3GWD8;A0A061ACV1;O18057,,196;440;553,0.866485,20.3282,21.7727,19.1176,21.5312,21.6392,21.0082,21.3492,20.8212,0.348347,0.221906,-0.517033,-0.810897,
ard-1,-2.12309,3.11955,A0A061AD09;Q19102,A0A061AD09;Q19102,,37;211,0.58816,19.9764,18.4282,19.5034,18.9757,21.3986,21.2608,21.4654,21.2513,3.11955,0.000364096,-2.12309,-6.27824,+
lim-9,-1.77319,1.08594,Q3S1I9,Q3S1I9;O17833;G5EEA4;G5EDJ5;G5EF39;A0A0K3ATK8;A0A0K3AQM0;G5ECN3,,88;284;362;417;454;561;591;454,1,19.0928,17.2822,19.4194,21.3455,21.2028,21.0694,20.5769,21.3834,1.08594,0.0199218,-1.77319,-2.08604,+
lim-9,-1.50979,3.00435,Q3S1I9,Q3S1I9;O17833;G5EEA4;G5EDJ5;G5EF39;A0A0K3ATK8;A0A0K3AQM0;A0A0K3AQP4,,240;436;514;569;606;713;743;124,1,19.6106,20.3,20.035,19.4295,21.6606,21.3918,20.915,21.4468,3.00435,0.000331034,-1.50979,-5.97021,+
pgp-2,-3.34151,2.56213,G5EDF9,G5EDF9;A0A0K3AQN5,,7;7,0.998341,18.7199,20.445,17.3022,18.8472,22.3729,22.3957,21.4728,22.4389,2.56213,0.000677966,-3.34151,-4.88914,+
pgp-2,-2.71259,1.40578,G5EDF9,G5EDF9;A0A0K3AQN5,,13;13,0.999895,16.3937,20.4237,20.9377,18.8993,22.3368,21.5555,21.7559,21.8566,1.40578,0.00811565,-2.71259,-2.62572,+
