geneName,log2FC,pvalue,ProteinAccessions,ProteinDescriptions,log2 daf2_d10_01,log2 daf2_d10_02,log2 daf2_d10_03,log2 daf2_d10_04,log2 daf2_d1_01,log2 daf2_d1_02,log2 daf2_d1_03,log2 daf2_d1_04, -Log.p.value,Student's T-test q-value daf2_d10_daf2_d1,log2FC,Student's T-test Test statistic daf2_d10_daf2_d1,Sign p-val: 0.05 
"CELE_Y62E10A,13",-3.93383,2.52136,A0A061ACH4;A0A061ACK7;A0A061ADS3;A0A061AKN1;Q95Q10;Q9U1W6;Q9U1W7,Uncharacterized protein,11.3554,8.10436,9.38045,10.4464,15.033,13.3158,13.2742,13.3989,2.52136,0.00172155,-3.93383,-4.79681,+
cars-1,0.385864,1.81186,A0A061ACL3,Cysteinyl Amino-acyl tRNA Synthetase,16.1075,16.3522,15.8168,16.1662,15.7675,15.7773,15.7113,15.6432,1.81186,0.00774533,0.385864,3.34986,+
eps-8,2.22204,2.46064,A0A061ACM2;A0A061ACP8;A0A061ADW6,EPS (Human endocytosis) related,15.6027,15.3869,14.0775,14.3634,12.5189,13.0355,11.8518,13.1362,2.46064,0.00190241,2.22204,4.66141,+
"CELE_T14G10,5;CELE_T14G10,5;T14G10,5;CELE_T14G10,5",0.546817,4.40685,A0A061ACR1;F5GUA3;Q22498;Q2XN02,Coatomer subunit gamma;Coatomer subunit gamma;Probable coatomer subunit gamma;Coatomer subunit gamma,16.5319,16.6517,16.4404,16.4774,15.9997,16.0292,15.9521,15.9332,4.40685,0.000143646,0.546817,10.7068,+
pezo-1,1.02245,4.03647,A0A061ACU2;A0A061AE33;A0A061AJB7;C6KRJ3;D0VWN8;H9G2S2;H9G2S3;Q17897,Piezo-type mechanosensitive ion channel component,14.9727,15.208,15.1849,15.344,14.0249,14.2203,14.3511,14.0234,4.03647,0.000190476,1.02245,9.21837,+
twk-9,-0.780766,1.81686,A0A061AD18,TWiK family of potassium channels,16.9242,17.1493,17.8353,17.5592,18.3173,18.0618,18.3394,17.8726,1.81686,0.00768861,-0.780766,-3.35917,+
epi-1,0.482463,2.0415,A0A061AD21;A0A061AJI9;C1P640;C1P641;G5EEV6;Q21313,Uncharacterized protein;Uncharacterized protein;Uncharacterized protein;Uncharacterized protein;Laminin alpha;Laminin-like protein epi-1,17.1279,17.5438,17.0597,17.2595,16.7993,16.8157,16.8808,16.5653,2.0415,0.00451785,0.482463,3.78856,+
kdin-1,0.303833,1.66585,A0A061AD39;A0A061AD72;A0A061AEC1;A0A061AJK4;A0A061AL87;Q067Y1;Q20109;Q27GQ4,KiDINs220 (Vertebrate scaffold protein) homolog,13.0056,13.2505,13.4264,13.3654,13.0104,12.8672,12.953,13.002,1.66585,0.0112711,0.303833,3.08282,+
tag-273,-0.214195,3.07027,A0A061AD47;A0A061AE99;Q86CZ7,Uncharacterized protein,16.5015,16.5437,16.458,16.5743,16.7957,16.6892,16.7458,16.7035,3.07027,0.000760761,-0.214195,-6.14505,+
"CELE_F13H10,3;CELE_F13H10,3;F13H10,3;CELE_F13H10,3",0.327693,1.03303,A0A061ADY8;Q0G831;Q19425;Q8T3E2,Uncharacterized protein;Uncharacterized protein;Sodium-coupled neutral amino acid transporter 9 homolog;Uncharacterized protein,12.8776,12.8146,12.929,13.0728,12.9012,12.7524,12.5408,12.1888,1.03303,0.0520322,0.327693,1.99804,
pps-1,0.622262,0.985552,A0A061AE05;Q22501,3'-Phosphoadenosine 5'-Phosphosulfate Synthetase,14.9095,14.5201,14.0743,14.7224,14.6849,13.7357,13.9037,13.413,0.985552,0.0584582,0.622262,1.91919,
cka-1,-0.8777,1.70175,A0A061AIW1;B3GWD5;O17610,Choline Kinase A,12.7984,12.9611,13.6862,13.8228,14.1753,14.2682,13.9052,14.4305,1.70175,0.0102657,-0.8777,-3.14771,+
"CELE_R11A8,7;CELE_R11A8,7;R11A8,7",-0.16198,0.570507,A0A061AJK8;A0A061AL89;Q21920,"Uncharacterized protein;Uncharacterized protein;Ankyrin repeat and KH domain-containing protein R11A8,7",12.6173,13.0353,12.4388,12.5493,12.7977,12.8163,12.7774,12.8972,0.570507,0.170757,-0.16198,-1.21829,
spp-18,2.28931,3.11075,A0A061AKY5;Q19837,SaPosin-like Protein family,16.373,16.9781,16.7208,17.007,13.6529,15.2626,14.344,14.6621,3.11075,0.000611227,2.28931,6.2543,+
lin-66,0.735537,1.42012,A0A061AL58;O62020,Uncharacterized protein,14.5827,14.6179,13.6819,14.7544,13.9599,13.5927,13.7867,13.3555,1.42012,0.0197782,0.735537,2.6504,+
"CELE_F09E10,7",1.07758,1.99253,A0A078BPG0,Uncharacterized protein,14.2571,14.4518,14.1071,14.5699,13.4822,13.2835,13.7968,12.5132,1.99253,0.00502923,1.07758,3.69292,+
"CELE_F10C1,9",-1.60685,2.52706,A0A078BPH9;G4S1A4,Uncharacterized protein,11.8453,12.2266,11.2579,11.6011,13.4519,13.0365,14.0339,12.836,2.52706,0.00172766,-1.60685,-4.80967,+
itx-1,0.945043,3.49981,A0A078BPJ4;A0A078BPL3;A0A078BS63;H1ZUX6;O45000,InTestinal NeureXin-like,15.0718,14.9494,14.8635,14.9809,14.3602,13.8227,14.023,13.8797,3.49981,0.000405874,0.945043,7.38458,+
"CELE_Y41E3,7",-0.162465,0.488288,A0A078BQL1;O62444;Q2XMY1,Uncharacterized protein,14.3709,13.8693,13.9608,13.8687,14.437,14.1755,14.1049,14.0022,0.488288,0.214456,-0.162465,-1.07215,
"CELE_Y105C5B,15",-0.295785,0.616536,A0A078BQP7;Q9U309,Purple acid phosphatase,13.783,13.271,13.2557,13.5441,14.1822,13.5679,13.9529,13.334,0.616536,0.151396,-0.295785,-1.29845,
lim-9,-0.360592,1.0993,A0A0K3AQM0;A0A0K3ATK8;G5ECN3;G5EEA4;G5EF39,LIM domain family,14.6326,14.7163,14.7474,15.1376,15.1094,14.9499,15.542,15.0749,1.0993,0.0439225,-0.360592,-2.1083,+
"CELE_Y105E8A,25",-0.537442,0.961411,A0A0K3AQN0;A0A0K3ATL6;A0A0K3AWN6,Uncharacterized protein,13.5123,13.1816,13.0543,13.2151,14.3318,13.9801,13.7444,13.0567,0.961411,0.0620523,-0.537442,-1.87909,
pgp-2,0.250665,1.89058,A0A0K3AQN5;A0A0K3AU66;A0A0K3AWK1;G5EDF9,P-GlycoProtein related;P-GlycoProtein related;P-GlycoProtein related;ABC transporter PGP-2,15.1777,15.1321,15.0575,15.1647,15.0493,14.8721,14.8834,14.7244,1.89058,0.00653053,0.250665,3.49751,+
lpd-3,-0.985385,0.910763,A0A0K3AQT9;A0A0K3ATS5;A0A0K3AUC6;A0A0K3AWP8,LiPid Depleted,14.3259,14.0766,13.9736,15.5266,16.2304,16.0431,14.4429,15.1278,0.910763,0.0703229,-0.985385,-1.79493,
tln-1,0.0411401,0.0210352,A0A0K3AQU9,TaLiN,14.0114,14.7436,14.0475,15.0478,16.0092,13.4848,14.7696,13.4221,0.0210352,0.925429,0.0411401,0.0618135,
max-2,1.45478,1.79805,A0A0K3AQV8;A0A0K3AUE7;G5EGQ3,Non-specific serine/threonine protein kinase;Non-specific serine/threonine protein kinase;Serine/threonine-protein kinase max-2,14.9622,15.2805,14.0682,14.3596,13.5153,12.2491,13.2763,13.8107,1.79805,0.008019,1.45478,3.32424,+
egl-27,0.996333,2.11167,A0A0K3AQW8;A0A0K3AQX3;A0A0K3ARG1;A0A0K3ARG6;A0A0K3ATV0;A0A0K3ATV3;A0A0K3ATV6;A0A0K3AUG2;A0A0K3AWS4;A0A0K3AWS8;Q09228,Uncharacterized protein;Uncharacterized protein;Uncharacterized protein;Uncharacterized protein;Uncharacterized protein;Uncharacterized protein;Uncharacterized protein;Uncharacterized protein;Uncharacterized protein;Uncharacterized protein;Egg-laying defective protein 27,14.9714,13.8412,14.4128,14.5895,13.3076,13.3039,13.5169,13.701,2.11167,0.00403516,0.996333,3.92776,+
cdc-14,-0.0430453,0.162561,A0A0K3AQY3;A0A0K3ATW0;P81299,Cell Division Cycle related;Cell Division Cycle related;Probable tyrosine-protein phosphatase cdc-14,10.7319,10.7653,10.6617,10.7681,11.0256,10.6159,10.6167,10.841,0.162561,0.560219,-0.0430453,-0.421948,
daf-16,0.798623,2.7237,A0A0K3AR63;A0A0K3AR95;A0A0K3ATP5;A0A0K3AWG6;O16850,Uncharacterized protein;Uncharacterized protein;Uncharacterized protein;Uncharacterized protein;Forkhead box protein O,14.7956,14.4813,14.4375,15.0285,14.0404,13.7714,13.8167,13.92,2.7237,0.00134405,0.798623,5.26664,+
"CELE_T16H12,3;T16H12,3",-0.312905,0.404821,A0A0K3ARA8;P34566,"Uncharacterized protein;Uncharacterized protein T16H12,3",12.4629,12.3007,12.5033,11.9589,12.8504,12.4177,13.3509,11.8584,0.404821,0.272914,-0.312905,-0.918644,
lev-11,-0.661153,1.0938,A0A0K3ARC0,Uncharacterized protein,14.5642,15.0783,13.9281,14.3618,15.5017,15.3856,15.1109,14.5788,1.0938,0.0445927,-0.661153,-2.09913,+
gld-2,-1.94011,2.52909,A0A0K3ARE1;A0A0K3AWQ7;O17087,Uncharacterized protein;Uncharacterized protein;Poly(A) RNA polymerase gld-2,10.6805,10.4422,9.39442,10.5435,11.771,12.8416,11.72,12.4886,2.52909,0.00173011,-1.94011,-4.81425,+
ncl-1,-1.04482,1.12068,A0A0K3ARF3;A0A0K3ARS2;A0A0K3AS01;A0A0K3AUA6;A0A0K3AUY6;A0A0K3AX41;A0A0K3AXB1;P34611,Uncharacterized protein;Uncharacterized protein;Uncharacterized protein;Uncharacterized protein;Uncharacterized protein;Uncharacterized protein;Uncharacterized protein;B-box type zinc finger protein ncl-1,14.3242,12.2912,13.6919,14.1284,15.1437,14.4379,14.5374,14.4959,1.12068,0.0415663,-1.04482,-2.14393,+
"CELE_D1069,3",-1.58353,3.60276,A0A0K3ARJ1;Q6A586,Uncharacterized protein,10.7146,10.8241,10.7882,10.7076,11.9118,12.1038,12.8008,12.5522,3.60276,0.000277457,-1.58353,-7.70994,+
