geneName,log2FC,pvalue,ProteinAccessions,,ProteinDescriptions,log2 N2_d10_01,log2 N2_d10_02,log2 N2_d10_03,log2 N2_d10_04,log2 N2_d5_01,log2 N2_d5_02,log2 N2_d5_03,log2 N2_d5_04, -Log.p.value,Student's T-test q-value N2_d10_N2_d5,log2FC,Student's T-test Test statistic N2_d10_N2_d5,Sign p-val: 0.05 
"CELE_Y62E10A,13",1.33029,0.628291,A0A061ACH4;A0A061ACK7;A0A061ADS3;A0A061AKN1;Q95Q10;Q9U1W6;Q9U1W7,,Uncharacterized protein,14.218,14.1148,11.1635,15.0079,10.7246,12.8939,13.1994,12.3652,0.628291,0.0708367,1.33029,1.31876,
cars-1,1.85059,3.5185,A0A061ACL3,,Cysteinyl Amino-acyl tRNA Synthetase,17.4415,17.1778,17.8791,18.122,16.0288,16.0264,15.5569,15.6059,3.5185,0,1.85059,7.4428,+
eps-8,0.705578,1.03629,A0A061ACM2;A0A061ACP8;A0A061ADW6,,EPS (Human endocytosis) related,14.4686,13.7126,14.1819,14.8971,14.1342,12.9341,13.6492,13.7203,1.03629,0.0199907,0.705578,2.00346,+
"CELE_T14G10,5;CELE_T14G10,5;T14G10,5;CELE_T14G10,5",0.785615,1.53273,A0A061ACR1;F5GUA3;Q22498;Q2XN02,,Coatomer subunit gamma;Coatomer subunit gamma;Probable coatomer subunit gamma;Coatomer subunit gamma,17.6362,17.6537,17.2508,18.0665,17.5171,16.5847,16.6106,16.7523,1.53273,0.00445075,0.785615,2.84621,+
pezo-1,3.61919,5.81609,A0A061ACU2;A0A061AE33;A0A061AJB7;C6KRJ3;D0VWN8;H9G2S2;H9G2S3;Q17897,,Piezo-type mechanosensitive ion channel component,17.6704,17.5944,18.1401,17.7233,13.722,14.2385,14.3964,14.2946,5.81609,0,3.61919,18.6632,+
twk-9,-3.74793,5.83588,A0A061AD18,,TWiK family of potassium channels,14.4523,14.1682,14.2584,14.486,17.6586,18.4575,18.3246,17.916,5.83588,0,-3.74793,-18.8076,+
epi-1,1.71328,4.56672,A0A061AD21;A0A061AJI9;C1P640;C1P641;G5EEV6;Q21313,,Uncharacterized protein;Uncharacterized protein;Uncharacterized protein;Uncharacterized protein;Laminin alpha;Laminin-like protein epi-1,19.3472,19.2119,19.0184,19.2306,17.6514,17.3559,17.1822,17.7655,4.56672,0,1.71328,11.4142,+
kdin-1,0.736467,1.22901,A0A061AD39;A0A061AD72;A0A061AEC1;A0A061AJK4;A0A061AL87;Q067Y1;Q20109;Q27GQ4,,KiDINs220 (Vertebrate scaffold protein) homolog,14.0607,13.8599,14.3869,14.7034,13.4012,12.9817,14.2163,13.4658,1.22901,0.0117478,0.736467,2.3253,+
tag-273,1.14844,3.93015,A0A061AD47;A0A061AE99;Q86CZ7,,Uncharacterized protein,17.9037,18.1408,18.2388,18.4179,16.9615,16.9142,16.9885,17.2432,3.93015,0,1.14844,8.82672,+
"CELE_F13H10,3;CELE_F13H10,3;F13H10,3;CELE_F13H10,3",1.77646,3.43549,A0A061ADY8;Q0G831;Q19425;Q8T3E2,,Uncharacterized protein;Uncharacterized protein;Sodium-coupled neutral amino acid transporter 9 homolog;Uncharacterized protein,14.2514,13.6343,14.3166,14.7568,12.5762,12.6283,12.41,12.2389,3.43549,0,1.77646,7.18717,+
